sample_id,model,axis,level,score_standard,score_anchor_A,score_anchor_B,delta_A_minus_std,delta_B_minus_std
7940,gemini-3-flash,coherence,0.2,7.0,8.0,7.0,1.0,0.0
7940,gpt-5-mini,coherence,0.2,8.0,7.0,8.0,-1.0,0.0
7974,gemini-3-flash,lexical,0.6,3.0,4.0,4.0,1.0,1.0
7974,gpt-5-mini,lexical,0.6,4.0,4.0,3.0,0.0,-1.0
7998,gemini-3-flash,coherence,0.2,7.0,7.0,8.0,0.0,1.0
7998,gpt-5-mini,coherence,0.2,9.0,8.0,9.0,-1.0,0.0
8156,gemini-3-flash,lexical,0.6,6.0,6.0,6.0,0.0,0.0
8156,gpt-5-mini,lexical,0.6,6.0,6.0,6.0,0.0,0.0
8159,gemini-3-flash,lexical,0.8,4.0,6.0,6.0,2.0,2.0
8159,gpt-5-mini,lexical,0.8,6.0,6.0,6.0,0.0,0.0
8186,gemini-3-flash,coherence,0.6,6.0,6.0,6.0,0.0,0.0
8186,gpt-5-mini,coherence,0.6,8.0,8.0,8.0,0.0,0.0
8231,gemini-3-flash,grammar,0.6,3.0,3.0,4.0,0.0,1.0
8231,gpt-5-mini,grammar,0.6,2.0,2.0,2.0,0.0,0.0
8283,gemini-3-flash,grammar,0.2,7.0,8.0,7.0,1.0,0.0
8283,gpt-5-mini,grammar,0.2,6.0,6.0,6.0,0.0,0.0
8304,gemini-3-flash,coherence,0.6,3.0,4.0,4.0,1.0,1.0
8304,gpt-5-mini,coherence,0.6,8.0,8.0,8.0,0.0,0.0
8372,gemini-3-flash,information,0.0,9.0,9.0,9.0,0.0,0.0
8372,gpt-5-mini,information,0.0,9.0,9.0,9.0,0.0,0.0
8407,gemini-3-flash,grammar,0.4,4.0,4.0,4.0,0.0,0.0
8407,gpt-5-mini,grammar,0.4,3.0,2.0,2.0,-1.0,-1.0
8412,gemini-3-flash,grammar,0.8,3.0,3.0,3.0,0.0,0.0
8412,gpt-5-mini,grammar,0.8,2.0,2.0,2.0,0.0,0.0
8454,gemini-3-flash,lexical,0.6,4.0,6.0,4.0,2.0,0.0
8454,gpt-5-mini,lexical,0.6,6.0,5.0,5.0,-1.0,-1.0
8556,gemini-3-flash,information,0.4,4.0,5.0,4.0,1.0,0.0
8556,gpt-5-mini,information,0.4,6.0,6.0,6.0,0.0,0.0
8564,gemini-3-flash,information,0.8,2.0,2.0,2.0,0.0,0.0
8564,gpt-5-mini,information,0.8,3.0,3.0,3.0,0.0,0.0
8725,gemini-3-flash,coherence,0.6,4.0,4.0,4.0,0.0,0.0
8725,gpt-5-mini,coherence,0.6,9.0,8.0,8.0,-1.0,-1.0
8730,gemini-3-flash,information,0.0,9.0,9.0,9.0,0.0,0.0
8730,gpt-5-mini,information,0.0,9.0,9.0,9.0,0.0,0.0
8732,gemini-3-flash,information,0.0,9.0,9.0,9.0,0.0,0.0
8732,gpt-5-mini,information,0.0,9.0,9.0,9.0,0.0,0.0
8733,gemini-3-flash,information,0.2,7.0,7.0,7.0,0.0,0.0
8733,gpt-5-mini,information,0.2,9.0,8.0,8.0,-1.0,-1.0
8767,gemini-3-flash,grammar,0.4,4.0,4.0,4.0,0.0,0.0
8767,gpt-5-mini,grammar,0.4,3.0,3.0,3.0,0.0,0.0
8851,gemini-3-flash,information,0.0,8.0,9.0,9.0,1.0,1.0
8851,gpt-5-mini,information,0.0,9.0,9.0,9.0,0.0,0.0
8932,gemini-3-flash,lexical,0.4,5.0,6.0,6.0,1.0,1.0
8932,gpt-5-mini,lexical,0.4,8.0,6.0,6.0,-2.0,-2.0
8966,gemini-3-flash,coherence,0.6,4.0,4.0,3.0,0.0,-1.0
8966,gpt-5-mini,coherence,0.6,8.0,8.0,8.0,0.0,0.0
